"","Location","Year","Period","newyear","oldyear","prod_growth","area_growth","yield_growth","prod_change_area","prod_change_yield","prod_change_total","ps_area","ps_yield"
"1","PHILIPPINES",1988,"Annual",1988,1987,0.0504901021703889,0.0420068183912282,0.00814129392383251,390430.73470298,40747.2652970199,431178,0.905497809960109,0.0945021900398907
"2","PHILIPPINES",1989,"Annual",1989,1988,0.0543685619154099,0.030834121797876,0.022830482247219,337848.375310858,149893.624689143,487742.000000001,0.69267845564019,0.30732154435981
"3","PHILIPPINES",1990,"Annual",1990,1989,-0.0147477917852339,-0.0510568213011254,0.0382625960446609,-435570.391183552,296074.391183552,-139496,3.12245792842484,-2.12245792842484
"4","PHILIPPINES",1991,"Annual",1991,1990,0.0379842811823579,0.0320123421078006,0.00578669346372374,283516.204977447,70469.7950225525,353985.999999999,0.800924909395986,0.199075090604014
"5","PHILIPPINES",1992,"Annual",1992,1991,-0.0562707802187101,-0.0662460291507054,0.0106829520873923,-570757.635849196,26435.6358491961,-544322,1.04856617195189,-0.048566171951889
"6","PHILIPPINES",1993,"Annual",1993,1992,0.0334395888241132,0.0263533943909921,0.00690424416370335,224222.928081581,81045.0719184191,305268,0.73451173421905,0.26548826578095
"7","PHILIPPINES",1994,"Annual",1994,1993,0.117004628263443,0.112474294331805,0.00407230437118472,1037234.79317131,66611.2068286917,1103846,0.939655344288341,0.0603446557116588
"8","PHILIPPINES",1995,"Annual",1995,1994,0.000246250398792794,0.029346876514776,-0.0282709616941899,358132.728688166,-355537.728688167,2594.99999999953,138.008758646717,-137.008758646717
"9","PHILIPPINES",1996,"Annual",1996,1995,0.0704813337395069,0.0512000055338414,0.0183422071006114,585532.894794877,157386.105205124,742919,0.788151729589466,0.211848270410534
"10","PHILIPPINES",1997,"Annual",1997,1996,-0.00129436008184645,-0.0275530885294761,0.0270027372578328,-209636.561199806,195031.561199806,-14605,14.3537529065256,-13.3537529065256
"11","PHILIPPINES",1998,"Annual",1998,1997,-0.240850821854682,-0.174955950518834,-0.0798683068828703,-1642237.1185795,-1071901.8814205,-2714139,0.605067433384769,0.394932566615231
"12","PHILIPPINES",1999,"Annual",1999,1998,0.377775276265181,0.261762146999945,0.0919453238798429,2361705.27142664,870095.728573362,3231801,0.730770635762115,0.269229364237885
"13","PHILIPPINES",2000,"Annual",2000,1999,0.0511416117845439,0.00956188486586585,0.0411859119703222,133766.409843971,469020.590156029,602787,0.221913229455796,0.778086770544204
"14","PHILIPPINES",2001,"Annual",2001,2000,0.0456404226447551,0.0067744983079851,0.0386043989017295,93514.9366460532,471943.063353947,565458.000000001,0.165379102684997,0.834620897315003
"15","PHILIPPINES",2002,"Annual",2002,2001,0.0243756209054973,-0.00470379474207103,0.0292168456927176,-72044.4963119253,387827.496311925,315782.999999999,-0.228145581972195,1.22814558197219
"16","PHILIPPINES",2003,"Annual",2003,2002,0.0172735282883216,-0.00986007525854369,0.0274038071477123,-85404.2894333259,314635.289433327,229231.000000001,-0.372568672794367,1.37256867279437
"17","PHILIPPINES",2004,"Annual",2004,2003,0.073845078965123,0.0300078299310033,0.0425601124188116,412696.104132342,584203.895867658,996900,0.413979440397574,0.586020559602426
"18","PHILIPPINES",2005,"Annual",2005,2004,0.00732721133183746,-0.0136246272698524,0.0212412426150687,-148802.91458968,255023.914589678,106220.999999998,-1.40088037760595,2.40088037760595
"19","PHILIPPINES",2006,"Annual",2006,2005,0.0495583614468392,0.021990108639868,0.0269750681282629,297729.466115799,425971.533884203,723701.000000002,0.411398445097904,0.588601554902096
"20","PHILIPPINES",2007,"Annual",2007,2006,0.0596010649646441,0.0271540626885549,0.0315892264410267,444674.342436274,468813.657563724,913487.999999998,0.486787283944918,0.513212716055082
"21","PHILIPPINES",2008,"Annual",2008,2007,0.0354277787568301,0.0437848958866004,-0.00800655112246251,691984.404434993,-116630.404434991,575354.000000003,1.20271068669895,-0.202710686698954
"22","PHILIPPINES",2009,"Annual",2009,2008,-0.03265617629589,0.0162182450716674,-0.0480944143687468,230851.555795675,-779983.055795676,-549131.500000001,-0.420393941698253,1.42039394169825
